temp,humidity,pressure,wind_speed,rain_1h,disaster_type,latitude,longitude,elevation,timestamp,month,hour,vegetation,soil_type,soil_moisture,urban_rural,ocean_current
31.0,85,1016,16.0,0.0,none,-22.5828,162.2572,403,2020-01-01 00:00:00,1,0,forest,loam,31.4,rural,normal
18.8,10,997,9.7,1.2,none,-35.2364,8.9123,1579,2020-01-01 01:00:00,1,1,shrubland,loam,6.5,rural,cool_current
2.2,77,1007,7.3,0.0,none,19.3581,-118.6113,891,2020-01-01 02:00:00,1,2,grassland,clay,34.0,rural,cool_current
38.4,94,1013,23.0,0.1,none,-43.4196,58.508,232,2020-01-01 03:00:00,1,3,forest,loam,52.3,rural,normal
9.5,69,1016,11.0,0.0,none,59.1728,-51.5688,137,2020-01-01 04:00:00,1,4,forest,loam,56.9,rural,normal
14.3,24,999,9.0,0.0,none,65.3586,44.3873,1327,2020-01-01 05:00:00,1,5,shrubland,silt,26.3,rural,normal
28.9,16,1007,16.1,0.0,none,-68.473,76.7681,2401,2020-01-01 06:00:00,1,6,shrubland,loam,24.9,rural,normal
5.2,52,1000,7.8,0.0,none,73.362,-90.2548,1362,2020-01-01 07:00:00,1,7,urban,sand,17.3,urban,cool_current
16.0,26,988,32.5,0.0,none,54.661,-112.8348,2731,2020-01-01 08:00:00,1,8,shrubland,loam,18.6,rural,cool_current
17.5,51,1006,9.2,0.0,none,57.2427,129.863,669,2020-01-01 09:00:00,1,9,cropland,sand,30.3,rural,normal
32.8,86,1012,18.1,0.0,none,-24.5467,169.8415,15,2020-01-01 10:00:00,1,10,wetland,clay,40.7,rural,normal
10.0,20,989,21.6,0.0,none,87.4171,-92.8601,2180,2020-01-01 11:00:00,1,11,shrubland,silt,58.1,rural,cool_current
34.9,78,1012,10.9,2.1,none,-32.2596,-112.8533,250,2020-01-01 12:00:00,1,12,forest,loam,32.2,rural,cool_current
24.9,75,1018,19.4,1.3,none,-28.6081,-139.1495,200,2020-01-01 13:00:00,1,13,forest,loam,85.5,rural,cool_current
28.2,97,1010,2.1,0.0,none,40.672,142.9597,596,2020-01-01 14:00:00,1,14,wetland,clay,61.3,rural,normal
12.8,33,1016,25.7,0.0,none,27.353,-99.263,215,2020-01-01 15:00:00,1,15,urban,silt,50.7,urban,cool_current
30.7,82,1018,18.1,1.3,none,-42.2636,-92.1637,266,2020-01-01 16:00:00,1,16,wetland,clay,46.1,rural,cool_current
20.0,67,1007,19.6,0.0,none,26.185,-116.2402,514,2020-01-01 17:00:00,1,17,urban,loam,55.8,urban,cool_current
17.3,49,1015,14.5,0.0,none,78.5079,70.5707,435,2020-01-01 18:00:00,1,18,urban,sand,38.9,urban,normal
5.3,76,1005,9.8,0.0,none,55.685,111.6408,1665,2020-01-01 19:00:00,1,19,urban,silt,24.8,rural,normal
9.8,62,998,9.1,0.0,none,-22.3951,-146.1665,761,2020-01-01 20:00:00,1,20,cropland,sand,59.8,rural,cool_current
6.0,49,1003,14.5,0.0,none,48.5988,-102.3044,2057,2020-01-01 21:00:00,1,21,grassland,sand,3.4,rural,cool_current
21.1,54,1003,6.7,1.2,none,-10.9851,-151.7557,962,2020-01-01 22:00:00,1,22,urban,loam,7.2,urban,normal
12.6,65,1022,3.1,0.0,none,9.7837,40.2195,149,2020-01-01 23:00:00,1,23,forest,loam,9.5,rural,normal
9.4,37,994,14.9,0.2,none,-81.8453,-45.1395,2064,2020-01-02 00:00:00,1,0,grassland,clay,22.8,rural,normal
31.8,81,1001,26.0,13.5,storm,13.5854,-40.2588,124,2020-01-02 01:00:00,1,1,forest,silt,47.3,rural,normal
25.0,91,1013,8.3,0.2,none,-39.2661,-137.4607,505,2020-01-02 02:00:00,1,2,grassland,sand,32.7,rural,cool_current
19.9,34,1005,8.9,0.0,none,77.5363,129.0286,1572,2020-01-02 03:00:00,1,3,grassland,loam,23.9,rural,normal
7.1,55,1014,12.0,0.0,none,13.2188,47.4614,601,2020-01-02 04:00:00,1,4,shrubland,silt,52.4,rural,normal
17.3,79,1016,14.1,0.1,none,8.9152,-21.049,88,2020-01-02 05:00:00,1,5,grassland,sand,47.9,rural,normal
14.2,52,1008,10.7,0.0,none,87.5951,-45.2625,793,2020-01-02 06:00:00,1,6,shrubland,silt,62.5,rural,normal
34.1,61,996,39.1,27.9,storm,-5.6411,-159.7308,76,2020-01-02 07:00:00,1,7,grassland,clay,69.7,rural,normal
38.2,77,1017,4.7,0.4,none,4.1576,46.5835,236,2020-01-02 08:00:00,1,8,wetland,clay,23.0,rural,normal
27.0,10,1001,53.8,1.1,wind_damage,-56.1382,-13.0686,1383,2020-01-02 09:00:00,1,9,urban,sand,18.3,urban,normal
23.1,66,1001,30.1,0.0,none,58.0567,161.928,1127,2020-01-02 10:00:00,1,10,cropland,clay,62.5,rural,normal
18.3,55,1014,17.4,0.0,none,61.5814,121.7983,32,2020-01-02 11:00:00,1,11,forest,loam,61.4,rural,normal
16.8,58,997,12.3,0.0,none,19.1114,-97.6886,1377,2020-01-02 12:00:00,1,12,cropland,silt,23.0,rural,cool_current
22.9,51,1019,20.7,0.0,none,10.9688,135.5953,266,2020-01-02 13:00:00,1,13,urban,loam,24.7,urban,normal
25.2,75,1010,20.0,1.6,none,16.1852,-38.7921,481,2020-01-02 14:00:00,1,14,urban,silt,25.2,urban,normal
6.5,58,995,6.5,0.0,none,86.4059,-2.6575,1430,2020-01-02 15:00:00,1,15,shrubland,loam,56.0,rural,normal
25.4,10,1008,6.9,0.6,none,-58.9824,-110.776,602,2020-01-02 16:00:00,1,16,shrubland,silt,16.5,rural,cool_current
21.0,62,1004,9.8,0.0,none,75.757,-158.0119,783,2020-01-02 17:00:00,1,17,cropland,silt,53.9,rural,normal
20.5,100,1023,4.8,0.0,none,44.5448,-166.794,670,2020-01-02 18:00:00,1,18,wetland,clay,91.4,rural,normal
20.9,62,1020,23.4,1.1,none,-22.0889,-172.7744,280,2020-01-02 19:00:00,1,19,urban,clay,57.7,urban,normal
17.7,88,1009,6.5,0.4,none,-24.6452,52.5302,194,2020-01-02 20:00:00,1,20,forest,loam,39.2,rural,normal
6.0,75,1014,15.6,0.0,none,86.8282,-139.666,323,2020-01-02 21:00:00,1,21,cropland,loam,47.7,rural,cool_current
5.4,68,1006,5.6,1.3,none,-56.3321,-63.4755,988,2020-01-02 22:00:00,1,22,urban,silt,21.1,rural,normal
20.5,62,1012,11.5,1.4,none,-65.8054,-157.185,691,2020-01-02 23:00:00,1,23,shrubland,loam,13.7,rural,normal
7.7,56,1015,4.8,0.0,none,83.7048,-135.253,567,2020-01-03 00:00:00,1,0,urban,clay,35.6,urban,cool_current
15.1,24,995,13.2,0.0,none,56.6234,59.471,1807,2020-01-03 01:00:00,1,1,urban,clay,10.1,urban,normal
23.2,13,1001,28.8,2.4,none,-35.752,89.1394,1756,2020-01-03 02:00:00,1,2,urban,clay,3.4,urban,normal
7.3,57,1003,11.2,0.0,none,21.6131,12.046,765,2020-01-03 03:00:00,1,3,urban,silt,33.1,rural,cool_current
19.9,93,1010,16.3,2.3,none,-28.4253,115.6526,179,2020-01-03 04:00:00,1,4,wetland,clay,29.3,rural,normal
12.8,10,996,14.0,0.0,none,-57.3124,147.0422,1958,2020-01-03 05:00:00,1,5,shrubland,clay,46.1,rural,normal
31.9,10,970,44.2,6.0,storm,-62.543,27.4638,2016,2020-01-03 06:00:00,1,6,shrubland,clay,31.2,rural,normal
24.3,43,1013,18.3,0.5,none,-29.6645,109.0272,558,2020-01-03 07:00:00,1,7,urban,silt,39.6,urban,normal
24.9,61,1022,1.7,1.8,none,-58.2503,-0.5876,152,2020-01-03 08:00:00,1,8,urban,clay,43.0,rural,normal
21.5,54,1013,6.9,0.0,none,89.4374,0.7902,242,2020-01-03 09:00:00,1,9,urban,sand,25.4,rural,normal
23.7,10,1004,15.5,1.8,none,-78.1724,99.1899,1633,2020-01-03 10:00:00,1,10,grassland,loam,33.3,rural,normal
31.6,79,1019,3.6,0.2,none,-41.266,51.8398,163,2020-01-03 11:00:00,1,11,grassland,loam,29.0,rural,normal
9.6,51,1008,15.1,0.3,none,-47.1271,-144.2011,1181,2020-01-03 12:00:00,1,12,forest,loam,4.4,rural,cool_current
15.0,57,1017,19.4,0.8,none,-28.4729,-86.6076,648,2020-01-03 13:00:00,1,13,grassland,loam,66.7,rural,cool_current
9.0,46,988,38.2,1.6,wind_damage,-85.9555,-83.2762,2513,2020-01-03 14:00:00,1,14,urban,silt,5.7,urban,cool_current
13.5,36,989,12.3,0.0,none,59.3535,-105.6883,1902,2020-01-03 15:00:00,1,15,grassland,clay,29.5,rural,cool_current
19.3,75,1021,22.5,7.6,none,-19.9268,-76.0703,659,2020-01-03 16:00:00,1,16,wetland,clay,113.5,rural,cool_current
29.1,59,1000,30.3,2.5,storm,17.4317,-59.6722,165,2020-01-03 17:00:00,1,17,urban,silt,16.0,urban,normal
13.6,71,1016,12.3,0.0,none,16.2415,-50.0494,191,2020-01-03 18:00:00,1,18,cropland,sand,45.1,rural,normal
18.7,72,1002,23.1,11.3,flood,-1.9035,-100.3646,458,2020-01-03 19:00:00,1,19,grassland,sand,90.5,rural,cool_current
15.4,57,1016,10.9,0.0,none,-83.3386,34.6572,466,2020-01-03 20:00:00,1,20,shrubland,loam,59.0,rural,normal
16.7,80,1004,6.9,0.0,none,69.476,41.7107,710,2020-01-03 21:00:00,1,21,forest,loam,76.1,rural,normal
4.3,54,992,7.3,0.0,none,48.2892,-29.604,1860,2020-01-03 22:00:00,1,22,urban,clay,20.8,urban,normal
-0.9,66,992,14.0,0.0,none,87.79,-26.0017,1830,2020-01-03 23:00:00,1,23,shrubland,silt,29.0,rural,normal
8.3,32,978,8.3,0.0,none,88.4104,-96.5982,2856,2020-01-04 00:00:00,1,0,urban,silt,16.0,urban,cool_current
15.6,56,1015,3.9,3.6,none,-79.5883,168.8769,393,2020-01-04 01:00:00,1,1,cropland,sand,28.3,rural,normal
30.1,21,1008,16.7,0.1,none,-73.5324,135.8859,1164,2020-01-04 02:00:00,1,2,urban,clay,8.4,urban,normal
-6.8,17,998,9.4,2.9,none,-75.4117,-100.734,2208,2020-01-04 03:00:00,1,3,shrubland,silt,29.2,rural,cool_current
16.1,66,1011,14.8,0.0,none,63.1047,132.2259,837,2020-01-04 04:00:00,1,4,urban,silt,47.8,urban,normal
16.8,68,1015,19.1,1.6,none,-61.0632,114.4681,322,2020-01-04 05:00:00,1,5,shrubland,silt,6.1,rural,normal
10.2,15,978,46.0,0.0,wind_damage,46.985,14.856,2907,2020-01-04 06:00:00,1,6,urban,loam,12.9,urban,cool_current
12.7,48,997,3.0,0.0,none,-77.8769,29.5814,1493,2020-01-04 07:00:00,1,7,urban,clay,45.0,urban,normal
14.9,61,1018,7.2,0.1,none,-40.7472,178.9648,163,2020-01-04 08:00:00,1,8,forest,silt,10.3,rural,normal
21.8,78,1004,11.0,2.1,none,-12.1797,159.7017,902,2020-01-04 09:00:00,1,9,forest,loam,30.5,rural,normal
19.5,19,986,3.9,0.0,none,66.3522,99.5749,2427,2020-01-04 10:00:00,1,10,grassland,clay,21.1,rural,normal
9.0,41,1001,17.5,0.3,none,-68.8845,-134.9331,953,2020-01-04 11:00:00,1,11,urban,silt,29.7,urban,cool_current
36.6,49,1014,5.6,0.3,none,-19.3512,-7.222,227,2020-01-04 12:00:00,1,12,urban,silt,17.5,urban,normal
23.1,70,1011,6.2,1.5,none,10.7368,-176.4825,228,2020-01-04 13:00:00,1,13,forest,loam,58.5,rural,normal
29.1,58,1012,18.3,0.0,none,24.5574,74.3313,462,2020-01-04 14:00:00,1,14,forest,silt,48.7,rural,normal
27.9,62,983,35.1,1.8,storm,-8.5827,51.688,504,2020-01-04 15:00:00,1,15,urban,loam,19.2,urban,normal
24.8,55,1017,18.3,0.6,none,32.4411,-154.0086,557,2020-01-04 16:00:00,1,16,urban,silt,2.3,urban,normal
29.2,10,1006,32.3,0.0,wind_damage,67.2162,144.2527,1554,2020-01-04 17:00:00,1,17,urban,loam,29.2,urban,normal
14.6,79,1009,7.4,1.0,none,-47.2422,169.7022,810,2020-01-04 18:00:00,1,18,shrubland,loam,36.8,rural,normal
23.2,76,1014,9.7,0.0,none,-43.536,56.4252,65,2020-01-04 19:00:00,1,19,urban,sand,17.3,urban,normal
15.4,64,1008,13.1,3.4,none,-45.2314,42.1722,442,2020-01-04 20:00:00,1,20,urban,clay,50.9,rural,normal
5.5,33,986,8.9,0.2,none,-79.7244,11.221,2841,2020-01-04 21:00:00,1,21,grassland,sand,24.5,rural,cool_current
23.4,100,1008,6.8,0.0,none,2.8073,-4.0152,91,2020-01-04 22:00:00,1,22,wetland,clay,68.1,rural,normal
13.9,29,1001,20.5,10.9,none,-58.113,69.3453,2595,2020-01-04 23:00:00,1,23,grassland,clay,26.6,rural,normal
16.3,86,1015,13.2,2.5,none,27.2219,-141.6265,63,2020-01-05 00:00:00,1,0,grassland,loam,37.9,rural,cool_current
9.5,24,999,12.8,0.0,none,47.2113,107.2129,1588,2020-01-05 01:00:00,1,1,shrubland,clay,20.5,rural,normal
17.7,99,1019,14.2,0.8,none,-9.2351,-94.4841,50,2020-01-05 02:00:00,1,2,grassland,sand,32.7,rural,cool_current
-0.3,81,1000,12.4,3.5,none,-28.5754,-43.1296,1726,2020-01-05 03:00:00,1,3,shrubland,sand,28.8,rural,normal
10.0,48,1002,15.9,0.0,none,78.1985,-53.4158,649,2020-01-05 04:00:00,1,4,urban,clay,4.2,urban,normal
23.9,84,1006,16.0,0.1,none,-40.9277,-31.1223,205,2020-01-05 05:00:00,1,5,grassland,loam,72.8,rural,normal
18.1,37,996,18.2,0.0,none,23.9672,162.5052,1503,2020-01-05 06:00:00,1,6,urban,silt,43.6,urban,normal
16.6,48,1004,14.2,0.8,none,-47.3633,100.9892,1173,2020-01-05 07:00:00,1,7,shrubland,sand,59.8,rural,normal
28.1,35,991,20.5,1.4,none,-72.7714,-171.4901,2104,2020-01-05 08:00:00,1,8,grassland,sand,12.5,rural,normal
34.7,58,1007,14.3,0.0,none,39.1676,69.277,379,2020-01-05 09:00:00,1,9,grassland,silt,66.6,rural,normal
16.8,34,982,22.7,1.8,none,-47.9318,14.4043,2700,2020-01-05 10:00:00,1,10,shrubland,sand,9.8,rural,cool_current
